code,name,industry,area
601886,江河集团,装修装饰,北京
600530,交大昂立,医疗保健,上海
601336,新华保险,保险,北京
300156,神雾环保,环境保护,北京
000750,国海证券,证券,广西
002337,赛象科技,化工机械,天津
300699,光威复材,化工原料,山东
002143,印纪传媒,影视音像,四川
300205,天喻信息,元器件,湖北
603922,金鸿顺,汽车配件,江苏
600422,昆药集团,中成药,云南
600721,百花村,生物制药,新疆
002359,北讯集团,通信设备,深圳
600456,宝钛股份,小金属,陕西
600661,昂立教育,文教休闲,上海
000806,银河生物,生物制药,广西
002181,粤 传 媒,出版业,广东
600191,华资实业,食品,内蒙
002077,大港股份,区域地产,江苏
600529,山东药玻,医疗保健,山东
002018,*ST华信,农药化肥,安徽
600800,天津磁卡,综合类,天津
000016,深康佳Ａ,家用电器,深圳
002655,共达电声,元器件,山东
300113,顺网科技,互联网,浙江
002354,天神娱乐,互联网,辽宁
002122,*ST天马,机械基件,浙江
600851,海欣股份,纺织,上海
002204,大连重工,专用机械,辽宁
000969,安泰科技,钢加工,北京
002674,兴业科技,纺织,福建
002183,怡 亚 通,仓储物流,深圳
600547,山东黄金,黄金,山东
600610,*ST毅达,建筑施工,上海
000915,山大华特,化学制药,山东
000070,特发信息,通信设备,深圳
000572,海马汽车,汽车整车,海南
600747,ST大控,多元金融,辽宁
000720,*ST新能,火力发电,山东
300223,北京君正,半导体,北京
002518,科士达,电器仪表,深圳
603977,国泰集团,化工原料,江西
600155,华创阳安,证券,北京
300399,京天利,互联网,北京
002273,水晶光电,元器件,浙江
600807,*ST天业,区域地产,山东
600421,ST仰帆,机械基件,湖北
300251,光线传媒,影视音像,北京
000707,*ST双环,化工原料,湖北
600198,*ST大唐,通信设备,北京
600701,*ST工新,综合类,黑龙江
000409,*ST地矿,综合类,山东
000158,常山北明,纺织,河北
600321,*ST正源,其他建材,四川
600183,生益科技,元器件,广东
002604,*ST龙力,食品,山东
000953,*ST河化,农药化肥,广西
600149,ST坊展,综合类,河北
300241,瑞丰光电,半导体,深圳
002113,天润数娱,互联网,湖南
000585,*ST东电,电气设备,海南
300449,汉邦高科,电脑设备,北京
600638,新黄浦,区域地产,上海
002188,*ST巴士,广告包装,浙江
000856,冀东装备,机械基件,河北
000982,*ST 中绒,纺织,宁夏
600783,鲁信创投,矿物制品,山东
300115,长盈精密,元器件,深圳
603421,鼎信通讯,通信设备,山东
300513,恒实科技,软件服务,北京
000923,河北宣工,铜,河北
